date,daily_ride_count,avg_ride_length_min
2025-10-18,22763,19.3636940620012
2025-10-19,11094,17.20614470434469
2025-10-20,17870,14.973156280544673
2025-10-21,14719,11.518591309418666
2025-10-22,16806,12.184761709111825
2025-10-23,18262,13.053619119848136
2025-10-24,16922,15.05409614801245
2025-10-25,16284,16.269773126995826
2025-10-26,15131,16.588935399731234
2025-10-27,16025,13.009938989079563
2025-10-28,18054,12.599963860271039
2025-10-29,18339,12.208068401584965
2025-10-30,18560,12.202450110452586
2025-10-31,18235,14.56518665021479
2025-11-01,17342,17.20402166320686
2025-11-02,13719,16.766919430473553
2025-11-03,16221,13.411404431498264
2025-11-04,18457,12.789766874356612
2025-11-05,19092,15.284883997660453
2025-11-06,18392,14.314241409308394
2025-11-07,17484,14.212652456531687
2025-11-08,9754,15.69742810641788
2025-11-09,5727,14.635329902217567
2025-11-10,5104,12.438625888192266
2025-11-11,8650,11.9238101849711
2025-11-12,13983,11.028907816634485
2025-11-13,15043,11.972018147975803
2025-11-14,17769,13.90573891984167
2025-11-15,19744,16.986490096569423
2025-11-16,10403,13.656643570764842
2025-11-17,12260,10.832392407558457
2025-11-18,11095,10.718526812377949
2025-11-19,14234,11.359386528734017
2025-11-20,15093,10.872358288610615
2025-11-21,14473,13.19014251594924
2025-11-22,12615,14.65101433478663
2025-11-23,11926,17.96314404662083
2025-11-24,11224,12.483264602637206
2025-11-25,11163,11.970602802412731
2025-11-26,5787,10.670818691319624
2025-11-27,2808,13.843198723884141
2025-11-28,4368,14.943548634004884
2025-11-29,1024,13.598048079427084
2025-11-30,1529,14.872495672552866
2025-12-01,4150,13.423991823293173
2025-12-02,4888,18.36492603314239
2025-12-03,4779,11.978390022319873
2025-12-04,4876,11.18203727440525
2025-12-05,5158,11.31978769548921
2025-12-06,4720,11.912513188559323
2025-12-07,2057,13.788081615621454
2025-12-08,4636,11.70984080744895
2025-12-09,6051,11.925032537321654
2025-12-10,5937,10.836626688563246
2025-12-11,6915,10.0649917956134
2025-12-12,6255,10.568496640021316
2025-12-13,2735,12.613901115173674
2025-12-14,1852,19.939455219582435
2025-12-15,4046,12.782989285714285
2025-12-16,6710,13.312275986090413
2025-12-17,8105,11.647281811638905
2025-12-18,6283,12.078653355615682
2025-12-19,4601,13.283212707382454
2025-12-20,5559,14.967068120765125
2025-12-21,3472,13.704834139784946
2025-12-22,5736,11.44869439795444
2025-12-23,6833,12.469770259524855
2025-12-24,3778,13.366609070054702
2025-12-25,1905,21.21762142607174
2025-12-26,3880,15.793656348797251
2025-12-27,4197,16.762761579699784
2025-12-28,1997,14.200073618761476
2025-12-29,2388,12.260312339475153
2025-12-30,3071,14.56961592315207
2025-12-31,2952,10.581504703026196
